Date,Portfolio Value
2015-03-05 00:00:00-05:00,100000.0
2015-03-06 00:00:00-05:00,99235.74644707316
2015-03-09 00:00:00-04:00,98789.94689048943
2015-03-10 00:00:00-04:00,97950.27557689339
2015-03-11 00:00:00-04:00,97230.34365060435
2015-03-12 00:00:00-04:00,97035.81933716297
2015-03-13 00:00:00-04:00,96909.60161941689
2015-03-16 00:00:00-04:00,97515.33149743179
2015-03-17 00:00:00-04:00,97615.5030930557
2015-03-18 00:00:00-04:00,98159.00013994118
2015-03-19 00:00:00-04:00,98117.84183384982
2015-03-20 00:00:00-04:00,99289.80519639827
2015-03-23 00:00:00-04:00,99581.63910759981
2015-03-24 00:00:00-04:00,99652.90466199294
2015-03-25 00:00:00-04:00,98888.58223815114
2015-03-26 00:00:00-04:00,98278.11301417119
2015-03-27 00:00:00-04:00,98134.66381370506
2015-03-30 00:00:00-04:00,98516.28702748724
2015-03-31 00:00:00-04:00,98492.80159636572
2015-04-01 00:00:00-04:00,98117.81918895493
2015-04-02 00:00:00-04:00,98060.17252812875
2015-04-06 00:00:00-04:00,98151.93244653817
2015-04-07 00:00:00-04:00,98294.71807548986
2015-04-08 00:00:00-04:00,98574.91955979256
2015-04-09 00:00:00-04:00,98838.99900767839
2015-04-10 00:00:00-04:00,99129.58101913103
2015-04-13 00:00:00-04:00,99057.36752211693
2015-04-14 00:00:00-04:00,99092.77007842035
2015-04-15 00:00:00-04:00,99052.90776085257
2015-04-16 00:00:00-04:00,99323.25583617167
2015-04-17 00:00:00-04:00,99085.195150387
2015-04-20 00:00:00-04:00,98950.15330434812
2015-04-21 00:00:00-04:00,99129.94635560132
2015-04-22 00:00:00-04:00,99286.37064234944
2015-04-23 00:00:00-04:00,99441.68418516067
2015-04-24 00:00:00-04:00,99594.37518339313
2015-04-27 00:00:00-04:00,99368.50171819732
2015-04-28 00:00:00-04:00,99374.26693693796
2015-04-29 00:00:00-04:00,99022.37089897339
2015-04-30 00:00:00-04:00,98955.723903934
2015-05-01 00:00:00-04:00,99918.7340309189
2015-05-04 00:00:00-04:00,100077.33090570754
2015-05-05 00:00:00-04:00,100009.60502190053
2015-05-06 00:00:00-04:00,99720.04810060996
2015-05-07 00:00:00-04:00,99599.3241043092
2015-05-08 00:00:00-04:00,100026.10128838907
2015-05-11 00:00:00-04:00,99964.25079712653
2015-05-12 00:00:00-04:00,100227.58592725403
2015-05-13 00:00:00-04:00,100436.73037772089
2015-05-14 00:00:00-04:00,100669.29209126082
2015-05-15 00:00:00-04:00,101199.23509920803
2015-05-18 00:00:00-04:00,101593.76939841204
2015-05-19 00:00:00-04:00,101621.6488286909
2015-05-20 00:00:00-04:00,101700.9070007151
2015-05-21 00:00:00-04:00,101851.77121004273
2015-05-22 00:00:00-04:00,101751.28850465757
2015-05-26 00:00:00-04:00,101660.38540989626
2015-05-27 00:00:00-04:00,101477.90233030073
2015-05-28 00:00:00-04:00,101332.41225361533
2015-05-29 00:00:00-04:00,101069.10588722891
2015-06-01 00:00:00-04:00,101133.55731217685
2015-06-02 00:00:00-04:00,100927.42519833455
2015-06-03 00:00:00-04:00,100818.2156381712
2015-06-04 00:00:00-04:00,100539.2197936425
2015-06-05 00:00:00-04:00,100009.90558694628
2015-06-08 00:00:00-04:00,99583.56599160947
2015-06-09 00:00:00-04:00,99357.55559250887
2015-06-10 00:00:00-04:00,99608.84398389525
2015-06-11 00:00:00-04:00,99974.80617606288
2015-06-12 00:00:00-04:00,99891.03133577174
2015-06-15 00:00:00-04:00,99478.38952427474
2015-06-16 00:00:00-04:00,99608.68001335143
2015-06-17 00:00:00-04:00,99737.56222407288
2015-06-18 00:00:00-04:00,100164.70697746486
2015-06-19 00:00:00-04:00,100405.60736517397
2015-06-22 00:00:00-04:00,100653.05821715649
2015-06-23 00:00:00-04:00,100717.04795797379
2015-06-24 00:00:00-04:00,100614.3959154071
2015-06-25 00:00:00-04:00,100462.85804721012
2015-06-26 00:00:00-04:00,100007.89367071106
2015-06-29 00:00:00-04:00,99068.400484706
2015-06-30 00:00:00-04:00,98607.67870562317
2015-07-01 00:00:00-04:00,98672.67321096247
2015-07-02 00:00:00-04:00,98812.66331594532
2015-07-06 00:00:00-04:00,98660.58203481071
2015-07-07 00:00:00-04:00,98602.98576496732
2015-07-08 00:00:00-04:00,98233.42021552818
2015-07-09 00:00:00-04:00,98164.41433689308
2015-07-10 00:00:00-04:00,98764.79140575285
2015-07-13 00:00:00-04:00,99247.39522899619
2015-07-14 00:00:00-04:00,100058.8070285014
2015-07-15 00:00:00-04:00,100473.78593558368
2015-07-16 00:00:00-04:00,100788.92324099
2015-07-17 00:00:00-04:00,100924.61176646475
2015-07-20 00:00:00-04:00,100955.53898885356
2015-07-21 00:00:00-04:00,101041.60132598433
2015-07-22 00:00:00-04:00,100686.58494240396
2015-07-23 00:00:00-04:00,100315.39635252923
2015-07-24 00:00:00-04:00,100016.16506163523
2015-07-27 00:00:00-04:00,99726.43739029978
2015-07-28 00:00:00-04:00,99866.86903838323
2015-07-29 00:00:00-04:00,100549.6514834367
2015-07-30 00:00:00-04:00,100636.51333726088
2015-07-31 00:00:00-04:00,100558.24000490709
2015-08-03 00:00:00-04:00,100429.13866373364
2015-08-04 00:00:00-04:00,100242.97793399305
2015-08-05 00:00:00-04:00,100044.91863279404
2015-08-06 00:00:00-04:00,99782.83374943222
2015-08-07 00:00:00-04:00,99624.55408558795
2015-08-10 00:00:00-04:00,99869.29346629698
2015-08-11 00:00:00-04:00,99787.53386555161
2015-08-12 00:00:00-04:00,99514.01687298522
2015-08-13 00:00:00-04:00,99484.44947126691
2015-08-14 00:00:00-04:00,99868.7820194143
2015-08-17 00:00:00-04:00,100060.929358948
2015-08-18 00:00:00-04:00,100056.60494400308
2015-08-19 00:00:00-04:00,99727.52164035245
2015-08-20 00:00:00-04:00,98495.03379779235
2015-08-21 00:00:00-04:00,96501.6337176372
2015-08-24 00:00:00-04:00,94510.10579222775
2015-08-25 00:00:00-04:00,92808.26879751979
2015-08-26 00:00:00-04:00,92100.26504459251
2015-08-27 00:00:00-04:00,92900.94462633407
2015-08-28 00:00:00-04:00,93431.649382851
2015-08-31 00:00:00-04:00,93712.14156190438
2015-09-01 00:00:00-04:00,93481.89330671642
2015-09-02 00:00:00-04:00,93525.13604134566
2015-09-03 00:00:00-04:00,93597.36036544968
2015-09-04 00:00:00-04:00,93506.27378358434
2015-09-08 00:00:00-04:00,93880.66180671545
2015-09-09 00:00:00-04:00,93860.41545139368
2015-09-10 00:00:00-04:00,93818.81680802935
2015-09-11 00:00:00-04:00,94072.78137366334
2015-09-14 00:00:00-04:00,94192.36567039909
2015-09-15 00:00:00-04:00,94714.24156922469
2015-09-16 00:00:00-04:00,95035.5116247768
2015-09-17 00:00:00-04:00,94899.15020498405
2015-09-18 00:00:00-04:00,94246.55567503873
2015-09-21 00:00:00-04:00,94251.69966875378
2015-09-22 00:00:00-04:00,93937.63093058883
2015-09-23 00:00:00-04:00,93566.72612835927
2015-09-24 00:00:00-04:00,93143.50014306865
2015-09-25 00:00:00-04:00,92692.8673744559
2015-09-28 00:00:00-04:00,91960.56292407704
2015-09-29 00:00:00-04:00,91802.57032421933
2015-09-30 00:00:00-04:00,92427.3688990603
2015-10-01 00:00:00-04:00,92413.56800154477
2015-10-02 00:00:00-04:00,92887.7481111002
2015-10-05 00:00:00-04:00,93928.74142583678
2015-10-06 00:00:00-04:00,94098.55267063058
2015-10-07 00:00:00-04:00,94861.05342507613
2015-10-08 00:00:00-04:00,95502.41783463932
