Date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT
2015-03-04 00:00:00-05:00,99.90119171142578,69.66461944580078,119.36954498291016,28.70653533935547,135.83297729492188,62.876461029052734,68.53632354736328,21.44674301147461,30.924055099487305,97.19197082519531,,155.39288330078125,90.86483001708984,79.86852264404297,99.05322265625,26.36562156677246,77.0565414428711,47.191383361816406,77.96469116210938,40.71222686767578,37.16393280029297,43.36992263793945,63.742469787597656,64.51962280273438,85.27043914794922,97.76112365722656,29.507183074951172,63.82021713256836,56.82703399658203,22.53548812866211
2015-03-05 00:00:00-05:00,100.1462173461914,70.11392211914062,119.677001953125,28.230854034423828,135.9385528564453,62.70719909667969,68.2560806274414,21.424806594848633,30.85130500793457,96.69485473632812,,155.728759765625,91.77539825439453,79.93053436279297,100.14677429199219,26.064266204833984,77.71605682373047,47.092647552490234,77.07808685302734,40.782569885253906,37.207088470458984,43.78797149658203,63.95407485961914,65.2256851196289,85.84488677978516,98.59429931640625,29.41697883605957,63.908817291259766,56.95022964477539,22.805652618408203
2015-03-06 00:00:00-05:00,98.227783203125,69.38814544677734,116.13768768310547,28.27328109741211,134.7505340576172,61.591670989990234,67.48703002929688,21.154254913330078,30.21099090576172,95.58087158203125,,153.1316375732422,90.61936950683594,78.9539566040039,98.48162078857422,25.646984100341797,75.88914489746094,46.24953079223633,75.53824615478516,39.98069763183594,36.559783935546875,43.0986328125,62.465354919433594,64.20140838623047,84.84246063232422,96.95378112792969,29.03813362121582,62.7921028137207,56.368404388427734,22.538219451904297
2015-03-09 00:00:00-04:00,99.42903137207031,69.56095123291016,116.23519897460938,28.393882751464844,136.18499755859375,62.16868591308594,67.74773406982422,21.468677520751953,30.11639404296875,96.9065933227539,,153.9673309326172,91.25279998779297,79.93830108642578,99.89204406738281,25.28380012512207,76.30606842041016,46.71287155151367,75.98932647705078,40.276126861572266,36.98269271850586,43.32990264892578,62.790283203125,65.11629486083984,85.58023834228516,98.68878173828125,29.002050399780273,63.27705383300781,57.15557098388672,22.617361068725586
2015-03-10 00:00:00-04:00,96.9727554321289,68.35134887695312,115.1628646850586,27.806528091430664,134.134521484375,61.47628402709961,67.06990814208984,20.956829071044922,29.6070613861084,94.9087905883789,,149.69070434570312,89.58151245117188,78.41142272949219,98.05291748046875,24.495616912841797,75.4494857788086,45.54313659667969,74.88497924804688,39.797821044921875,36.274967193603516,42.920738220214844,61.61897277832031,63.40584945678711,83.98442840576172,96.5929946899414,28.56910514831543,61.82696533203125,56.621681213378906,22.396305084228516
2015-03-11 00:00:00-04:00,96.656005859375,68.64510345458984,114.5029525756836,27.299575805664062,133.03448486328125,61.314754486083984,67.48052978515625,20.664335250854492,29.177753448486328,94.72465515136719,,150.89500427246094,89.98739624023438,78.0084228515625,97.42536926269531,24.982440948486328,74.5322265625,45.75582504272461,73.85061645507812,39.432044982910156,36.23181915283203,42.40040969848633,61.50565719604492,63.3262939453125,84.73822021484375,97.1402816772461,28.671327590942383,61.7220458984375,56.47793197631836,22.1519775390625
2015-03-12 00:00:00-04:00,98.29353332519531,70.46815490722656,115.66525268554688,27.793127059936523,133.8000946044922,61.69169616699219,66.75057983398438,20.649715423583984,29.764690399169922,98.6650161743164,,155.6222686767578,92.39884185791016,79.41126251220703,98.15850067138672,23.800161361694336,75.6769027709961,46.61412048339844,74.85386657714844,39.82915496826172,35.40326690673828,43.15645217895508,62.03459167480469,64.5892333984375,86.47037506103516,99.00170135498047,29.30272674560547,62.84806823730469,57.668983459472656,22.484159469604492
2015-03-13 00:00:00-04:00,97.2596206665039,69.63872528076172,115.67276000976562,27.601072311401367,133.38653564453125,60.95316696166992,66.22917175292969,20.43035125732422,29.28046989440918,97.99295043945312,,155.1225128173828,91.38015747070312,78.41142272949219,95.85956573486328,23.900619506835938,75.2068862915039,46.33308029174805,74.931640625,39.85041809082031,35.7139778137207,42.60943603515625,61.8381233215332,64.2411880493164,85.58023834228516,99.3205795288086,29.368865966796875,61.787322998046875,57.306182861328125,22.484159469604492
2015-03-16 00:00:00-04:00,99.33342742919922,70.41632080078125,122.24903106689453,27.904800415039062,135.2345428466797,61.52245330810547,67.21328735351562,20.69358253479004,29.559261322021484,98.84913635253906,,157.2198486328125,92.7171859741211,79.65926361083984,97.59931182861328,23.823341369628906,76.60931396484375,46.978721618652344,75.55379486083984,40.50278091430664,35.86933898925781,42.88960647583008,63.14545822143555,66.06101989746094,87.35246276855469,102.1385726928711,29.62744140625,62.717533111572266,59.39387512207031,22.86575698852539
2015-03-17 00:00:00-04:00,98.15009307861328,70.03614807128906,122.27898406982422,28.371545791625977,135.97377014160156,60.35307312011719,67.2393798828125,20.583900451660156,29.72067642211914,98.4716796875,,156.13021850585938,91.98500061035156,79.21749114990234,97.5247573852539,23.63789176940918,75.72235107421875,46.796417236328125,74.79165649414062,40.041873931884766,35.99014663696289,42.93408966064453,62.60892105102539,67.17479705810547,87.2081069946289,101.34573364257812,29.435016632080078,61.66376495361328,59.04479217529297,22.681827545166016
